R,I,A,S,E,C,Dominant,Occupation,Major
5,40,6,7,7,39,IC,Data Analyst,Data Science
38,5,6,5,33,32,REC,Operations Manager,Operations Management
8,35,5,34,5,40,ISC,Healthcare Analyst,Health Informatics
8,7,7,5,37,38,EC,Business Analyst,Business Administration
34,5,8,7,36,5,RE,Construction Manager,Construction Management
5,6,34,37,40,5,ASE,Public Relations Specialist,Public Relations
8,35,8,7,8,34,IC,Data Analyst,Data Science
7,8,40,37,7,5,SA,Social Worker,Social Work
39,36,6,6,7,7,RI,Mechanical Engineer,Mechanical Engineering
5,6,39,39,35,6,ASE,Public Relations Specialist,Public Relations
7,6,7,7,37,39,EC,Business Analyst,Business Administration
5,6,6,6,38,36,EC,Business Analyst,Business Administration
8,38,8,35,7,33,ISC,Healthcare Analyst,Health Informatics
36,32,5,7,5,33,RIC,Systems Engineer,Systems Engineering
6,8,32,36,6,7,AS,Art Therapist,Art Therapy
6,37,8,34,5,36,ISC,Healthcare Analyst,Health Informatics
5,6,38,38,8,7,AS,Art Therapist,Art Therapy
36,5,7,8,35,33,REC,Operations Manager,Operations Management
5,36,8,5,5,39,IC,Data Analyst,Data Science
8,7,8,5,33,32,EC,Business Analyst,Business Administration
8,6,5,7,39,40,EC,Business Analyst,Business Administration
8,5,38,38,39,5,ASE,Public Relations Specialist,Public Relations
6,38,7,33,8,37,ISC,Healthcare Analyst,Health Informatics
39,8,8,6,40,7,RE,Construction Manager,Construction Management
5,6,39,34,5,5,AS,Art Therapist,Art Therapy
5,5,34,33,40,8,ASE,Public Relations Specialist,Public Relations
8,5,32,37,6,6,AS,Art Therapist,Art Therapy
6,40,5,7,5,32,IC,Data Analyst,Data Science
39,35,6,7,8,6,RI,Mechanical Engineer,Mechanical Engineering
32,5,6,6,40,8,RE,Construction Manager,Construction Management
8,8,7,5,33,35,EC,Business Analyst,Business Administration
7,33,6,38,8,36,ISC,Healthcare Analyst,Health Informatics
5,35,8,8,5,33,IC,Data Analyst,Data Science
8,39,7,38,8,39,ISC,Healthcare Analyst,Health Informatics
5,8,7,8,35,39,EC,Business Analyst,Business Administration
6,8,6,8,32,34,EC,Business Analyst,Business Administration
5,8,32,35,33,6,ASE,Public Relations Specialist,Public Relations
8,35,5,33,8,38,ISC,Healthcare Analyst,Health Informatics
5,8,34,37,5,7,AS,Art Therapist,Art Therapy
5,6,37,34,8,8,SA,Social Worker,Social Work
39,7,7,5,34,6,RE,Construction Manager,Construction Management
39,37,5,8,8,5,RI,Mechanical Engineer,Mechanical Engineering
7,6,38,37,34,6,ASE,Public Relations Specialist,Public Relations
8,34,7,7,8,32,IC,Data Analyst,Data Science
8,6,32,40,39,8,ASE,Public Relations Specialist,Public Relations
33,7,8,6,34,36,REC,Operations Manager,Operations Management
5,38,6,32,5,35,ISC,Healthcare Analyst,Health Informatics
8,8,5,6,36,34,EC,Business Analyst,Business Administration
6,8,6,8,37,35,EC,Business Analyst,Business Administration
6,6,40,32,6,8,SA,Social Worker,Social Work
8,34,6,5,6,34,IC,Data Analyst,Data Science
35,6,7,7,34,40,REC,Operations Manager,Operations Management
8,7,37,32,6,7,SA,Social Worker,Social Work
39,8,6,7,33,40,REC,Operations Manager,Operations Management
5,5,7,6,36,35,EC,Business Analyst,Business Administration
32,5,7,6,33,8,RE,Construction Manager,Construction Management
7,32,6,7,7,35,IC,Data Analyst,Data Science
7,6,35,33,6,5,AS,Art Therapist,Art Therapy
34,34,7,5,7,39,RIC,Systems Engineer,Systems Engineering
5,5,36,33,39,6,ASE,Public Relations Specialist,Public Relations
38,6,5,8,35,33,REC,Operations Manager,Operations Management
34,35,8,5,5,39,RIC,Systems Engineer,Systems Engineering
8,34,6,36,7,36,ISC,Healthcare Analyst,Health Informatics
40,7,6,5,39,35,REC,Operations Manager,Operations Management
8,6,32,37,5,5,AS,Art Therapist,Art Therapy
8,40,8,37,5,38,ISC,Healthcare Analyst,Health Informatics
7,8,34,38,32,5,ASE,Public Relations Specialist,Public Relations
5,35,7,7,7,38,IC,Data Analyst,Data Science
8,40,7,37,6,33,ISC,Healthcare Analyst,Health Informatics
6,40,7,8,6,37,IC,Data Analyst,Data Science
5,34,7,7,8,33,IC,Data Analyst,Data Science
8,34,5,40,8,34,ISC,Healthcare Analyst,Health Informatics
5,8,34,38,6,8,AS,Art Therapist,Art Therapy
8,33,5,5,8,34,IC,Data Analyst,Data Science
35,34,6,6,7,35,RIC,Systems Engineer,Systems Engineering
5,37,8,36,5,39,ISC,Healthcare Analyst,Health Informatics
5,40,7,39,6,36,ISC,Healthcare Analyst,Health Informatics
5,6,33,38,7,8,AS,Art Therapist,Art Therapy
5,8,37,40,7,6,AS,Art Therapist,Art Therapy
32,5,5,7,40,6,RE,Construction Manager,Construction Management
5,5,34,40,32,7,ASE,Public Relations Specialist,Public Relations
35,36,8,5,8,40,RIC,Systems Engineer,Systems Engineering
8,7,6,8,39,32,EC,Business Analyst,Business Administration
36,39,5,6,8,34,RIC,Systems Engineer,Systems Engineering
39,5,5,7,39,37,REC,Operations Manager,Operations Management
34,6,5,5,36,6,RE,Construction Manager,Construction Management
37,7,5,5,39,5,RE,Construction Manager,Construction Management
39,8,6,7,34,8,RE,Construction Manager,Construction Management
33,33,5,6,7,7,RI,Mechanical Engineer,Mechanical Engineering
6,7,5,7,34,34,EC,Business Analyst,Business Administration
8,5,36,33,6,8,AS,Art Therapist,Art Therapy
8,8,35,32,33,8,ASE,Public Relations Specialist,Public Relations
5,37,6,6,7,32,IC,Data Analyst,Data Science
38,5,8,7,32,39,REC,Operations Manager,Operations Management
39,35,6,8,5,40,RIC,Systems Engineer,Systems Engineering
32,37,7,6,6,34,RIC,Systems Engineer,Systems Engineering
5,8,33,35,7,8,AS,Art Therapist,Art Therapy
32,35,7,8,5,40,RIC,Systems Engineer,Systems Engineering
5,6,38,38,7,5,AS,Art Therapist,Art Therapy
33,33,5,5,5,36,RIC,Systems Engineer,Systems Engineering
7,7,35,34,6,6,AS,Art Therapist,Art Therapy
38,7,7,8,36,5,RE,Construction Manager,Construction Management
8,5,40,36,32,5,ASE,Public Relations Specialist,Public Relations
35,37,6,8,6,37,RIC,Systems Engineer,Systems Engineering
33,37,6,8,7,8,RI,Mechanical Engineer,Mechanical Engineering
39,5,5,6,38,7,RE,Construction Manager,Construction Management
6,36,8,8,8,39,IC,Data Analyst,Data Science
8,5,40,39,7,8,SA,Social Worker,Social Work
39,5,5,8,37,7,RE,Construction Manager,Construction Management
7,33,6,34,6,34,ISC,Healthcare Analyst,Health Informatics
35,6,6,6,34,5,RE,Construction Manager,Construction Management
8,6,34,32,35,6,ASE,Public Relations Specialist,Public Relations
5,5,35,36,6,7,SA,Social Worker,Social Work
32,7,5,5,35,5,RE,Construction Manager,Construction Management
5,8,34,36,40,6,ASE,Public Relations Specialist,Public Relations
39,5,6,7,39,7,RE,Construction Manager,Construction Management
6,7,38,38,8,7,AS,Art Therapist,Art Therapy
8,5,7,7,37,37,EC,Business Analyst,Business Administration
7,36,5,8,7,33,IC,Data Analyst,Data Science
6,7,34,32,33,7,ASE,Public Relations Specialist,Public Relations
5,7,37,35,8,5,AS,Art Therapist,Art Therapy
6,7,34,32,6,5,SA,Social Worker,Social Work
6,7,8,7,38,38,EC,Business Analyst,Business Administration
7,6,40,40,39,5,ASE,Public Relations Specialist,Public Relations
35,40,8,8,5,40,RIC,Systems Engineer,Systems Engineering
6,5,38,38,6,7,AS,Art Therapist,Art Therapy
5,33,6,8,7,37,IC,Data Analyst,Data Science
5,33,5,33,5,36,ISC,Healthcare Analyst,Health Informatics
5,32,8,34,6,39,ISC,Healthcare Analyst,Health Informatics
39,40,6,8,5,6,RI,Mechanical Engineer,Mechanical Engineering
8,5,32,40,34,5,ASE,Public Relations Specialist,Public Relations
38,34,5,8,5,5,RI,Mechanical Engineer,Mechanical Engineering
33,32,6,8,8,6,RI,Mechanical Engineer,Mechanical Engineering
